name,name,team,battingStyle,bowlingStyle,playingRole
RuturajGaikwad,Ruturaj Gaikwad,Super Kings,Right hand Bat,Right arm Offbreak,Batter
FafduPlessis,Fafdu Plessis,Super Kings,Right hand Bat,Legbreak,Middle order Batter
RobinUthappa,Robin Uthappa,Super Kings,Right hand Bat,Right arm Medium,Batter
MoeenAli,Moeen Ali,Super Kings,Left hand Bat,Right arm Offbreak,Batting Allrounder
ShubmanGill,Shubman Gill,KKR,Right hand Bat,Right arm Offbreak,Opening Batter
VenkateshIyer,Venkatesh Iyer,KKR,Left hand Bat,Right arm Medium,Allrounder
NitishRana,Nitish Rana,KKR,Left hand Bat,"Right arm Medium, Right arm Offbreak, Legbreak",Middle order Batter
SunilNarine,Sunil Narine,KKR,Left hand Bat,Right arm Offbreak,Bowling Allrounder
EoinMorgan,Eoin Morgan,KKR,Left hand Bat,Right arm Medium,Middle order Batter
DineshKarthik,Dinesh Karthik,KKR,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter
ShakibAlHasan,ShakibAlHasan,KKR,Left hand Bat,Slow Left arm Orthodox,Allrounder
RahulTripathi,Rahul Tripathi,KKR,Right hand Bat,Right arm Medium,Top order Batter
LockieFerguson,Lockie Ferguson,KKR,Right hand Bat,Right arm Fast,Bowler
ShivamMavi,Shivam Mavi,KKR,Right hand Bat,Right arm Fast medium,Bowler
VarunChakravarthy,Varun Chakravarthy,KKR,Right hand Bat,Legbreak Googly,Bowler
DeepakChahar,Deepak Chahar,Super Kings,Right hand Bat,Right arm Medium,Bowler
JoshHazlewood,Josh Hazlewood,Super Kings,Left hand Bat,Right arm Fast medium,Bowler
ShardulThakur,Shardul Thakur,Super Kings,Right hand Bat,Right arm Medium,Bowler
DwayneBravo,Dwayne Bravo,Super Kings,Right hand Bat,Right arm Medium,Allrounder
RavindraJadeja,Ravindra Jadeja,Super Kings,Left hand Bat,Slow Left arm Orthodox,Allrounder
PrithviShaw,Prithvi Shaw,Capitals,Right hand Bat,Right arm Offbreak,Opening Batter
ShikharDhawan,Shikhar Dhawan,Capitals,Left hand Bat,Right arm Offbreak,Opening Batter
MarcusStoinis,Marcus Stoinis,Capitals,Right hand Bat,Right arm Medium,Batting Allrounder
