match_id,match,teamInnings,battingPos,batsmanName,batsman,out/not_out,runs,balls,4s,6s,SR
T203817,Super Kings Vs KKR,Super Kings,1,RuturajGaikwad,Ruturaj Gaikwad,out,32,27,3,1,118.51
T203817,Super Kings Vs KKR,Super Kings,2,FafduPlessis,Fafdu Plessis,out,86,59,7,3,145.76
T203817,Super Kings Vs KKR,Super Kings,3,RobinUthappa,Robin Uthappa,out,31,15,0,3,206.66
T203817,Super Kings Vs KKR,Super Kings,4,MoeenAli,Moeen Ali,not_out,37,20,2,3,185
T203817,Super Kings Vs KKR,KKR,1,ShubmanGill,Shubman Gill,out,51,43,6,0,118.6
T203817,Super Kings Vs KKR,KKR,2,VenkateshIyer,Venkatesh Iyer,out,50,32,5,3,156.25
T203817,Super Kings Vs KKR,KKR,3,NitishRana,Nitish Rana,out,0,1,0,0,0
T203817,Super Kings Vs KKR,KKR,4,SunilNarine,Sunil Narine,out,2,2,0,0,100
T203817,Super Kings Vs KKR,KKR,5,EoinMorgan,Eoin Morgan,out,4,8,0,0,50
T203817,Super Kings Vs KKR,KKR,6,DineshKarthik,Dinesh Karthik,out,9,7,0,1,128.57
T203817,Super Kings Vs KKR,KKR,7,ShakibAlHasan,Shakib Hasan,out,0,1,0,0,0
T203817,Super Kings Vs KKR,KKR,8,RahulTripathi,Rahul Tripathi,out,2,3,0,0,66.66
T203817,Super Kings Vs KKR,KKR,9,LockieFerguson,Lockie Ferguson,not_out,18,11,1,1,163.63
T203817,Super Kings Vs KKR,KKR,10,ShivamMavi,Shivam Mavi,out,20,13,1,2,153.84
T203817,Super Kings Vs KKR,KKR,11,VarunChakravarthy,Varun Chakravarthy,not_out,0,0,0,0,-
T206442,Capitals Vs KKR,Capitals,1,PrithviShaw,Prithvi Shaw,out,18,12,2,1,150
T206442,Capitals Vs KKR,Capitals,2,ShikharDhawan,Shikhar Dhawan,out,36,39,1,2,92.3
T206442,Capitals Vs KKR,Capitals,3,MarcusStoinis,Marcus Stoinis,out,18,23,1,0,78.26
T206442,Capitals Vs KKR,Capitals,4,ShreyasIyer,Shreyas Iyer,not_out,30,27,1,1,111.11
T206442,Capitals Vs KKR,Capitals,5,RishabhPant,Rishabh Pant,out,6,6,1,0,100
T206442,Capitals Vs KKR,Capitals,6,ShimronHetmyer,Shimron Hetmyer,out,17,10,0,2,170
T206442,Capitals Vs KKR,Capitals,7,AxarPatel,Axar Patel,not_out,4,4,0,0,100
T206442,Capitals Vs KKR,KKR,1,ShubmanGill,Shubman Gill,out,46,46,1,1,100
T206442,Capitals Vs KKR,KKR,2,VenkateshIyer,Venkatesh Iyer,out,55,41,4,3,134.14
T206442,Capitals Vs KKR,KKR,3,NitishRana,Nitish Rana,out,13,12,0,1,108.33
T206442,Capitals Vs KKR,KKR,4,RahulTripathi,Rahul Tripathi,not_out,12,11,0,1,109.09
T206442,Capitals Vs KKR,KKR,5,DineshKarthik,Dinesh Karthik,out,0,3,0,0,0
T206442,Capitals Vs KKR,KKR,6,EoinMorgan,Eoin Morgan,out,0,3,0,0,0
T206442,Capitals Vs KKR,KKR,7,ShakibAlHasan,Shakib Hasan,out,0,2,0,0,0
T206442,Capitals Vs KKR,KKR,8,SunilNarine,Sunil Narine,out,0,1,0,0,0
T206442,Capitals Vs KKR,KKR,9,LockieFerguson,Lockie Ferguson,not_out,0,0,0,0,-
T208597,RCB Vs KKR,RCB,1,DevduttPadikkal,Devdutt Padikkal,out,21,18,2,0,116.66
T208597,RCB Vs KKR,RCB,2,ViratKohli,Virat Kohli,out,39,33,5,0,118.18
T208597,RCB Vs KKR,RCB,3,SrikarBharat,Srikar Bharat,out,9,16,0,0,56.25
T208597,RCB Vs KKR,RCB,4,GlennMaxwell,Glenn Maxwell,out,15,18,1,0,83.33
T208597,RCB Vs KKR,RCB,5,ABdeVilliers,ABde Villiers,out,11,9,1,0,122.22
T208597,RCB Vs KKR,RCB,6,ShahbazAhmed,Shahbaz Ahmed,out,13,14,1,0,92.85
T208597,RCB Vs KKR,RCB,7,DanChristian,Dan Christian,out,9,8,1,0,112.5
T208597,RCB Vs KKR,RCB,8,HarshalPatel,Harshal Patel,not_out,8,6,1,0,133.33
T208597,RCB Vs KKR,RCB,9,GeorgeGarton,George Garton,not_out,0,0,0,0,-
T208597,RCB Vs KKR,KKR,1,ShubmanGill,Shubman Gill,out,29,18,4,0,161.11
T208597,RCB Vs KKR,KKR,2,VenkateshIyer,Venkatesh Iyer,out,26,30,0,1,86.66
T208597,RCB Vs KKR,KKR,3,RahulTripathi,Rahul Tripathi,out,6,5,1,0,120
T208597,RCB Vs KKR,KKR,4,NitishRana,Nitish Rana,out,23,25,1,1,92
T208597,RCB Vs KKR,KKR,5,SunilNarine,Sunil Narine,out,26,15,0,3,173.33
