Hour,Car No.,Team,Drivers,Car,Category,Tyres  ,Laps,Total Time,Pitstops,Best Lap Number,Best LapTime,Best Lap Kph,total_time,Lap_record
1,8,Toyota Gazoo Racing,S. BUEMI / B. HARTLEY / R. HIRAKAWA,Toyota GR010 HYBRID,HYPERCAR,M,12,1:01:15,0,10.0,03:29.7,234.0,3675.0,209.7
1,51,Ferrari AF Corse,A. PIER GUIDI / J. CALADO / A. GIOVINAZZI,Ferrari 499P,HYPERCAR,M,12,1:01:19,0,12.0,03:29.1,234.6,3679.0,209.1
1,7,Toyota Gazoo Racing,M. CONWAY / K. KOBAYASHI / J. LOPEZ,Toyota GR010 HYBRID,HYPERCAR,M,12,1:01:21,0,12.0,03:30.0,233.6,3681.0,210.0
1,75,Porsche Penske Motorsport,F. NASR / M. JAMINET / N. TANDY,Porsche 963,HYPERCAR,M,12,1:01:22,0,12.0,03:29.9,233.7,3682.0,209.9
1,6,Porsche Penske Motorsport,K. ESTRE / A. LOTTERER / L. VANTHOOR,Porsche 963,HYPERCAR,M,12,1:01:23,0,9.0,03:30.0,233.6,3683.0,210.0
1,5,Porsche Penske Motorsport,D. CAMERON / M. CHRISTENSEN / F. MAKOWIECKI,Porsche 963,HYPERCAR,M,12,1:01:23,0,9.0,03:30.1,233.5,3683.0,210.1
1,2,Cadillac Racing,E. BAMBER / A. LYNN / R. WESTBROOK,Cadillac V-Series.R,HYPERCAR,M,12,1:01:24,0,10.0,03:30.2,233.4,3684.0,210.2
1,93,Peugeot TotalEnergies,P. DI RESTA / M. JENSEN / J. VERGNE,Peugeot 9X8,HYPERCAR,M,12,1:01:25,0,10.0,03:30.1,233.5,3685.0,210.1
1,38,Hertz Team JOTA,A. DA COSTA / W. STEVENS / Y. YE,Porsche 963,HYPERCAR,M,12,1:01:26,1,10.0,03:29.5,234.2,3686.0,209.5
1,94,Peugeot TotalEnergies,L. DUVAL / G. MENEZES / N. MÜLLER,Peugeot 9X8,HYPERCAR,M,12,1:01:28,0,10.0,03:29.7,234.0,3688.0,209.7
1,709,Glickenhaus Racing,F. MAILLEUX / N. BERTHON / E. GUTIERREZ,Glickenhaus 007,HYPERCAR,M,12,1:01:30,0,11.0,03:30.6,233.0,3690.0,210.6
1,4,Floyd Vanwall Racing Team,T. DILLMANN / E. GUERRIERI / T. VAUTIER,Vanwall Vandervell 680,HYPERCAR,M,12,1:01:49,0,12.0,03:32.9,230.4,3709.0,212.9
1,48,IDEC Sport,P. LAFARGUE / P. CHATIN / L. HÖRR,Oreca 07 - Gibson,LMP2,G,12,1:02:15,1,11.0,03:37.1,225.9,3735.0,217.1
1,50,Ferrari AF Corse,A. FUOCO / M. MOLINA / N. NIELSEN,Ferrari 499P,HYPERCAR,M,12,1:02:16,1,9.0,03:30.2,233.4,3736.0,210.2
1,41,Team WRT,R. ANDRADE / L. DELÉTRAZ / R. KUBICA,Oreca 07 - Gibson,LMP2,G,12,1:02:17,1,11.0,03:36.4,226.7,3737.0,216.4
1,28,JOTA,D. HEINEMEIER-HANSSON / O. RASMUSSEN / P. FITTIPALDI,Oreca 07 - Gibson,LMP2,G,12,1:02:21,1,11.0,03:37.3,225.7,3741.0,217.3
1,36,Alpine Elf Team,M. VAXIVIERE / C. MILESI / J. CANAL,Oreca 07 - Gibson,LMP2,G,12,1:02:27,1,10.0,03:37.4,225.6,3747.0,217.4
1,10,Vector Sport,R. CULLEN / G. AUBRY / M. KAISER,Oreca 07 - Gibson,LMP2,G,12,1:02:27,1,11.0,03:37.7,225.3,3747.0,217.7
1,22,United Autosports,P. HANSON / F. ALBUQUERQUE / F. LUBIN,Oreca 07 - Gibson,LMP2,G,12,1:02:28,1,11.0,03:37.8,225.2,3748.0,217.8
1,9,Prema Racing,B. VISCAAL / J. CORREA / F. UGRAN,Oreca 07 - Gibson,LMP2,G,12,1:02:29,1,10.0,03:37.8,225.2,3749.0,217.8
1,3,Cadillac Racing,S. BOURDAIS / R. VAN DER ZANDE / S. DIXON,Cadillac V-Series.R,HYPERCAR,M,12,1:02:31,1,12.0,03:28.3,235.5,3751.0,208.3
1,45,Algarve Pro Racing,G. KURTZ / J. ALLEN / C. BRAUN,Oreca 07 - Gibson,LMP2,G,12,1:02:32,1,9.0,03:38.0,225.0,3752.0,218.0
1,35,Alpine Elf Team,A. NEGRÃO / O. CALDWELL / M. ROJAS,Oreca 07 - Gibson,LMP2,G,12,1:02:33,1,10.0,03:38.1,225.0,3753.0,218.1
1,39,Graff Racing,R. LACORTE / G. VAN DER GARDE / P. PILET,Oreca 07 - Gibson,LMP2,G,12,1:02:35,1,11.0,03:39.0,224.0,3755.0,219.0
1,30,Duqueine Team,N. JANI / R. BINDER / N. PINO,Oreca 07 - Gibson,LMP2,G,12,1:02:35,1,11.0,03:39.0,223.9,3755.0,219.0
1,43,DKR Engineering,T. VAN ROMPUY / U. DE WILDE / M. MARTIN,Oreca 07 - Gibson,LMP2,G,12,1:02:37,1,12.0,03:38.5,224.5,3757.0,218.5
1,31,Team WRT,S. GELAEL / F. HABSBURG / R. FRIJNS,Oreca 07 - Gibson,LMP2,G,12,1:02:39,1,10.0,03:39.4,223.5,3759.0,219.4
1,34,Inter Europol Competition,J. SMIECHOWSKI / A. COSTA / F. SCHERER,Oreca 07 - Gibson,LMP2,G,12,1:02:42,1,12.0,03:39.5,223.5,3762.0,219.5
1,80,AF Corse,F. PERRODO / B. BARNICOAT / N. NATO,Oreca 07 - Gibson,LMP2,G,12,1:03:13,1,12.0,03:44.1,218.9,3793.0,224.1
1,14,Nielsen Racing,R. SALES / M. BECHE / B. HANLEY,Oreca 07 - Gibson,LMP2,G,12,1:03:19,1,11.0,03:44.6,218.4,3799.0,224.6
1,37,COOL Racing,N. LAPIERRE / A. COIGNY / M. JAKOBSEN,Oreca 07 - Gibson,LMP2,G,12,1:03:26,1,10.0,03:46.1,216.9,3806.0,226.1
1,47,COOL Racing,DE GÉRUS / V. LOMKO / S. PAGENAUD,Oreca 07 - Gibson,LMP2,G,12,1:03:27,1,10.0,03:37.3,225.7,3807.0,217.3
1,23,United Autosports,J. PIERSON / T. BLOMQVIST / O. JARVIS,Oreca 07 - Gibson,LMP2,G,12,1:03:33,1,10.0,03:37.7,225.3,3813.0,217.7
1,65,Panis Racing,M. MALDONADO / T. VAN DER HELM / J. VAN UITERT,Oreca 07 - Gibson,LMP2,G,12,1:03:35,1,10.0,03:38.1,225.0,3815.0,218.1
1,24,Hendrick Motorsports,J. JOHNSON / M. ROCKENFELLER / J. BUTTON,Chevrolet Camaro ZL1,INNOVATIVE CAR,G,12,1:03:55,0,8.0,03:52.1,211.3,3835.0,232.1
1,56,Project 1 - AO,P. HYETT / G. JEANNETTE / M. CAIROLI,Porsche 911 RSR - 19,LMGTE Am,M,12,1:03:57,0,11.0,03:51.4,211.9,3837.0,231.4
1,60,Iron Lynx,C. SCHIAVONI / M. CRESSONI / A. PICARIELLO,Porsche 911 RSR - 19,LMGTE Am,M,12,1:03:58,0,8.0,03:51.4,212.0,3838.0,231.4
1,54,AF Corse,T. FLOHR / F. CASTELLACCI / D. RIGON,Ferrari 488 GTE Evo,LMGTE Am,M,12,1:03:59,0,8.0,03:52.1,211.3,3839.0,232.1
1,923,Racing Team Turkey,S. YOLUC / T. GAMBLE / D. VANTHOOR,Oreca 07 - Gibson,LMP2,G,12,1:04:00,1,9.0,03:37.6,225.4,3840.0,217.6
1,57,Kessel Racing,T. KIMURA / S. HUFFAKER / D. SERRA,Ferrari 488 GTE Evo,LMGTE Am,M,12,1:04:04,0,8.0,03:52.5,211.0,3844.0,232.5
1,83,Richard Mille AF Corse,L. PEREZ COMPANC / A. ROVERA / L. WADOUX,Ferrari 488 GTE Evo,LMGTE Am,M,12,1:04:05,0,8.0,03:52.5,211.0,3845.0,232.5
1,88,Proton Competition,H. TINCKNELL / D. YOUNT / J. RIED,Porsche 911 RSR - 19,LMGTE Am,M,12,1:04:05,1,8.0,03:52.2,211.2,3845.0,232.2
1,33,Corvette Racing,N. CATSBURG / B. KEATING / N. VARRONE,Chevrolet Corvette C8.R,LMGTE Am,M,12,1:04:08,1,8.0,03:51.3,212.1,3848.0,231.3
1,911,Proton Competition,M. FASSBENDER / M. RUMP / R. LIETZ,Porsche 911 RSR - 19,LMGTE Am,M,12,1:04:12,1,9.0,03:53.2,210.4,3852.0,233.2
1,86,GR Racing,M. WAINWRIGHT / B. BARKER / R. PERA,Porsche 911 RSR - 19,LMGTE Am,M,12,1:04:13,1,10.0,03:52.2,211.2,3853.0,232.2
1,21,AF Corse,S. MANN / J. PIGUET / U. DE PAUW,Ferrari 488 GTE Evo,LMGTE Am,M,12,1:04:19,0,11.0,03:54.8,208.9,3859.0,234.8
1,100,Walkenhorst Motorsport,C. HULL / A. HARYANTO / J. SEGAL,Ferrari 488 GTE Evo,LMGTE Am,M,12,1:04:29,1,11.0,03:54.7,209.0,3869.0,234.7
1,74,Kessel Racing,K. COZZOLINO / Y. TSUJIKO / N. YOKOMIZO,Ferrari 488 GTE Evo,LMGTE Am,M,12,1:04:29,1,10.0,03:54.9,208.9,3869.0,234.9
1,85,Iron Dames,S. BOVY / M. GATTING / R. FREY,Porsche 911 RSR - 19,LMGTE Am,M,12,1:04:31,1,10.0,03:54.9,208.9,3871.0,234.9
1,25,ORT by TF,A. AL HARTHY / M. DINAN / C. EASTWOOD,Aston Martin Vantage AMR,LMGTE Am,M,12,1:04:32,1,8.0,03:53.8,209.8,3872.0,233.8
1,63,Prema Racing,D. PIN / D. KVYAT / M. BORTOLOTTI,Oreca 07 - Gibson,LMP2,G,12,1:04:33,1,10.0,03:39.9,223.1,3873.0,219.9
1,777,D'Station Racing,S. HOSHINO / C. STEVENSON / T. FUJII,Aston Martin Vantage AMR,LMGTE Am,M,12,1:04:33,1,9.0,03:55.1,208.6,3873.0,235.1
1,72,TF Sport,A. ROBIN / M. ROBIN / V. HASSE-CLOT,Aston Martin Vantage AMR,LMGTE Am,M,12,1:04:34,1,9.0,03:55.4,208.4,3874.0,235.4
1,13,Tower Motorsports,S. THOMAS / R. TAYLOR / R. RAST,Oreca 07 - Gibson,LMP2,G,11,0:59:02,1,10.0,03:39.1,223.9,3542.0,219.1
1,66,JMW Motorsport,T. NEUBAUER / L. PRETTE / G. PETROBELLI,Ferrari 488 GTE Evo,LMGTE Am,M,11,1:00:20,0,8.0,03:53.1,210.5,3620.0,233.1
1,55,GMB Motorsport,G. BIRCH / M. SØRENSEN/ J. MØLLER,Aston Martin Vantage AMR,LMGTE Am,M,11,1:00:59,1,8.0,03:58.2,205.9,3659.0,238.2
1,77,Dempsey - Proton Racing,C. RIED / M. PEDERSEN / J. ANDLAUER,Porsche 911 RSR - 19,LMGTE Am,M,11,1:00:59,1,10.0,04:00.3,204.1,3659.0,240.3
1,98,Northwest AMR,I. JAMES / D. MANCINELLI / A. RIBERAS,Aston Martin Vantage AMR,LMGTE Am,M,11,1:01:00,1,10.0,04:00.0,204.4,3660.0,240.0
1,16,Proton Competition,R. HARDWICK / Z. ROBICHON / J. HEYLEN,Porsche 911 RSR - 19,LMGTE Am,M,11,1:01:00,1,10.0,03:58.7,205.5,3660.0,238.7
1,708,Glickenhaus Racing,R. DUMAS / R. BRISCOE / O. PLA,Glickenhaus 007,HYPERCAR,M,11,1:01:30,1,9.0,03:30.4,233.1,3690.0,210.4
1,32,Inter Europol Competition,M. KVAMME / J. MAGNUSSEN / A. FJORDBACH,Oreca 07 - Gibson,LMP2,G,11,1:03:42,0,9.0,03:49.2,214.0,3822.0,229.2
2,2,Cadillac Racing,E. BAMBER / A. LYNN / R. WESTBROOK,Cadillac V-Series.R,HYPERCAR,M,26,2:01:05,1,10.0,03:30.2,233.4,7265.0,210.2
2,5,Porsche Penske Motorsport,D. CAMERON / M. CHRISTENSEN / F. MAKOWIECKI,Porsche 963,HYPERCAR,M,26,2:01:10,1,9.0,03:30.1,233.5,7270.0,210.1
2,75,Porsche Penske Motorsport,F. NASR / M. JAMINET / N. TANDY,Porsche 963,HYPERCAR,M,26,2:01:13,1,12.0,03:29.9,233.7,7273.0,209.9
2,8,Toyota Gazoo Racing,S. BUEMI / B. HARTLEY / R. HIRAKAWA,Toyota GR010 HYBRID,HYPERCAR,M,26,2:01:26,2,10.0,03:29.7,234.0,7286.0,209.7
2,38,Hertz Team JOTA,A. DA COSTA / W. STEVENS / Y. YE,Porsche 963,HYPERCAR,M,26,2:01:32,3,10.0,03:29.5,234.2,7292.0,209.5
2,6,Porsche Penske Motorsport,K. ESTRE / A. LOTTERER / L. VANTHOOR,Porsche 963,HYPERCAR,M,26,2:01:33,2,9.0,03:30.0,233.6,7293.0,210.0
2,7,Toyota Gazoo Racing,M. CONWAY / K. KOBAYASHI / J. LOPEZ,Toyota GR010 HYBRID,HYPERCAR,M,26,2:01:35,2,12.0,03:30.0,233.6,7295.0,210.0
2,50,Ferrari AF Corse,A. FUOCO / M. MOLINA / N. NIELSEN,Ferrari 499P,HYPERCAR,M,26,2:01:35,2,19.0,03:29.8,233.8,7295.0,209.8
2,51,Ferrari AF Corse,A. PIER GUIDI / J. CALADO / A. GIOVINAZZI,Ferrari 499P,HYPERCAR,M,26,2:01:36,2,12.0,03:29.1,234.6,7296.0,209.1
2,94,Peugeot TotalEnergies,L. DUVAL / G. MENEZES / N. MÜLLER,Peugeot 9X8,HYPERCAR,M,26,2:01:55,2,10.0,03:29.7,234.0,7315.0,209.7
2,93,Peugeot TotalEnergies,P. DI RESTA / M. JENSEN / J. VERGNE,Peugeot 9X8,HYPERCAR,M,26,2:02:02,2,10.0,03:30.1,233.5,7322.0,210.1
2,709,Glickenhaus Racing,F. MAILLEUX / N. BERTHON / E. GUTIERREZ,Glickenhaus 007,HYPERCAR,M,26,2:02:40,2,11.0,03:30.6,233.0,7360.0,210.6
2,4,Floyd Vanwall Racing Team,T. DILLMANN / E. GUERRIERI / T. VAUTIER,Vanwall Vandervell 680,HYPERCAR,M,26,2:04:32,3,12.0,03:32.9,230.4,7472.0,212.9
2,3,Cadillac Racing,S. BOURDAIS / R. VAN DER ZANDE / S. DIXON,Cadillac V-Series.R,HYPERCAR,M,26,2:05:15,3,12.0,03:28.3,235.5,7515.0,208.3
2,41,Team WRT,R. ANDRADE / L. DELÉTRAZ / R. KUBICA,Oreca 07 - Gibson,LMP2,G,26,2:05:35,2,11.0,03:36.4,226.7,7535.0,216.4
2,36,Alpine Elf Team,M. VAXIVIERE / C. MILESI / J. CANAL,Oreca 07 - Gibson,LMP2,G,26,2:05:44,3,10.0,03:37.4,225.6,7544.0,217.4
2,28,JOTA,D. HEINEMEIER-HANSSON / O. RASMUSSEN / P. FITTIPALDI,Oreca 07 - Gibson,LMP2,G,26,2:05:45,2,11.0,03:37.3,225.7,7545.0,217.3
2,23,United Autosports,J. PIERSON / T. BLOMQVIST / O. JARVIS,Oreca 07 - Gibson,LMP2,G,25,2:01:02,2,10.0,03:37.7,225.3,7262.0,217.7
2,10,Vector Sport,R. CULLEN / G. AUBRY / M. KAISER,Oreca 07 - Gibson,LMP2,G,25,2:01:14,2,11.0,03:37.7,225.3,7274.0,217.7
2,30,Duqueine Team,N. JANI / R. BINDER / N. PINO,Oreca 07 - Gibson,LMP2,G,25,2:01:15,3,11.0,03:39.0,223.9,7275.0,219.0
2,34,Inter Europol Competition,J. SMIECHOWSKI / A. COSTA / F. SCHERER,Oreca 07 - Gibson,LMP2,G,25,2:01:18,3,13.0,03:38.7,224.3,7278.0,218.7
2,48,IDEC Sport,P. LAFARGUE / P. CHATIN / L. HÖRR,Oreca 07 - Gibson,LMP2,G,25,2:01:19,2,11.0,03:37.1,225.9,7279.0,217.1
2,35,Alpine Elf Team,A. NEGRÃO / O. CALDWELL / M. ROJAS,Oreca 07 - Gibson,LMP2,G,25,2:01:24,2,10.0,03:38.1,225.0,7284.0,218.1
